Wavelength (nm),SLS201L Power (a.u.)
567.84,0.462089057
568.04,0.462578606
568.25,0.463244108
568.45,0.463838076
568.65,0.464362883
568.86,0.46503686
569.06,0.465612521
569.26,0.466195979
569.47,0.466764859
569.67,0.467280513
569.87,0.467901264
570.08,0.468474551
570.28,0.469042414
570.48,0.469608243
570.69,0.47016797
570.89,0.470782618
571.09,0.471411166
571.29,0.471996659
571.5,0.472708268
571.7,0.473365972
571.9,0.473955871
572.11,0.474548822
572.31,0.475106515
572.51,0.475648612
572.72,0.476206644
572.92,0.476695514
573.12,0.477178961
573.33,0.477740722
573.53,0.478298075
573.73,0.478882889
573.94,0.479499911
574.14,0.480076249
574.34,0.480548847
574.54,0.481066196
574.75,0.481638127
574.95,0.482133101
575.15,0.482704693
575.36,0.48328849
575.56,0.483889578
575.76,0.484491004
575.97,0.485032762
576.17,0.485576555
576.37,0.48609865
576.57,0.486688211
576.78,0.487135043
576.98,0.487614082
577.18,0.488116175
577.39,0.488557243
577.59,0.489066455
577.79,0.489509558
577.99,0.490011312
578.2,0.490574768
578.4,0.491008039
578.6,0.491417239
578.8,0.491936283
579.01,0.492390913
579.21,0.492929281
579.41,0.493427983
579.62,0.493973132
579.82,0.494514212
580.02,0.495027154
580.22,0.495504837
580.43,0.496100839
580.63,0.496659887
580.83,0.497206392
581.03,0.497790867
581.24,0.498346526
581.44,0.498808275
581.64,0.499350372
581.84,0.499814155
582.05,0.50030506
582.25,0.500696971
582.45,0.501181434
582.65,0.501543171
582.86,0.501973052
583.06,0.502372421
583.26,0.502820948
583.46,0.503218283
583.67,0.503756651
583.87,0.504093979
584.07,0.504646586
584.27,0.505079518
584.48,0.505596528
584.68,0.506124725
584.88,0.506725813
585.08,0.507265198
585.29,0.507784242
585.49,0.508247347
585.69,0.508796225
585.89,0.509313234
586.1,0.509843466
586.3,0.510263176
586.5,0.510715772
586.7,0.51123685
586.9,0.5118298
587.11,0.512353252
587.31,0.512878398
587.51,0.513438124
587.71,0.514003614
587.92,0.514520285
588.12,0.515141036
588.32,0.515659741
588.52,0.516288628
588.72,0.516919888
588.93,0.517461647
589.13,0.517981708
589.33,0.518498039
589.53,0.519010981
589.73,0.519534771
589.94,0.520051442
590.14,0.520535905
590.34,0.520986467
590.54,0.521462794
590.74,0.521888606
590.95,0.522326624
591.15,0.522707685
591.35,0.523184012
591.55,0.523493879
591.75,0.523924777
591.96,0.524410258
592.16,0.52489167
592.36,0.525407663
592.56,0.525851782
592.76,0.526405068
592.96,0.526875631
593.17,0.527349924
593.37,0.52783337
593.57,0.528264946
593.77,0.528793822
593.97,0.529291846
594.18,0.52983869
594.38,0.530416385
594.58,0.530893729
594.78,0.53140701
594.98,0.531956226
595.18,0.532417975
595.39,0.532905151
595.59,0.533335371
595.79,0.533836786
595.99,0.534292771
596.19,0.534762318
596.39,0.53525424
596.6,0.535632928
596.8,0.536109594
597,0.536667626
597.2,0.537069368
597.4,0.537608414
597.6,0.538114236
597.81,0.538597683
598.01,0.539050278
598.21,0.539449986
598.41,0.539957842
598.61,0.54046502
598.81,0.540902698
599.01,0.541391908
599.22,0.541823484
599.42,0.542299133
599.62,0.542811736
599.82,0.543313828
600.02,0.543806428
600.22,0.544350221
600.42,0.544784848
600.63,0.545303892
600.83,0.545778185
601.03,0.546241968
601.23,0.546688461
601.43,0.547312263
601.63,0.547830968
601.83,0.548437819
602.03,0.549041957
602.24,0.549682032
602.44,0.550195991
602.64,0.550853356
602.84,0.551459189
603.04,0.552110113
603.24,0.552663398
603.44,0.55321804
603.64,0.553772003
603.85,0.554380549
604.05,0.554833822
604.25,0.555449149
604.45,0.555982092
604.65,0.556528936
604.85,0.557103241
605.05,0.55766534
605.25,0.558213201
605.45,0.558878364
605.65,0.559500132
605.86,0.560135799
606.06,0.560696543
606.26,0.561377979
606.46,0.56204721
606.66,0.562665248
606.86,0.563211414
607.06,0.563850472
607.26,0.564442067
607.46,0.564976027
607.66,0.565413367
607.86,0.566045644
608.07,0.56657113
608.27,0.567155944
608.47,0.567674988
608.67,0.568194032
608.87,0.568670359
609.07,0.569261953
609.27,0.569816934
609.47,0.570457348
609.67,0.570989613
609.87,0.571553408
610.07,0.57216331
610.27,0.572802707
610.48,0.573445155
610.68,0.574121167
610.88,0.574701235
611.08,0.575421997
611.28,0.576017999
611.48,0.576681806
611.68,0.577268315
611.88,0.577975517
612.08,0.578559992
612.28,0.579264142
612.48,0.579937102
612.68,0.580540224
612.88,0.581154194
613.08,0.581939371
613.28,0.582561817
613.48,0.583243592
613.68,0.583900957
613.88,0.584553576
614.09,0.585176699
614.29,0.585773379
614.49,0.586419557
614.69,0.586994879
614.89,0.587536298
615.09,0.588170271
615.29,0.588784241
615.49,0.58945415
615.69,0.590062018
615.89,0.590751251
616.09,0.591385902
616.29,0.592028689
616.49,0.592630793
616.69,0.593205437
616.89,0.593754654
617.09,0.59456763
617.29,0.595273815
617.49,0.595987797
617.69,0.596694998
617.89,0.597501194
618.09,0.598261283
618.29,0.599018321
618.49,0.599821805
618.69,0.600618509
618.89,0.601366054
619.09,0.602116311
619.29,0.602761472
619.49,0.603484607
619.69,0.604122987
619.89,0.604775606
620.09,0.605480773
620.29,0.606260187
620.49,0.606907381
620.69,0.607627466
620.89,0.608300426
621.09,0.609017459
621.29,0.609555149
621.49,0.61022099
621.69,0.610790887
621.89,0.611453677
622.09,0.61203544
622.29,0.612706366
622.49,0.613291858
622.69,0.613998042
622.89,0.614611674
623.09,0.615333453
623.29,0.616041672
623.49,0.616735312
623.69,0.617382168
623.89,0.618042584
624.09,0.618520945
624.29,0.619103725
624.49,0.619600055
624.69,0.62006316
624.89,0.620601189
625.09,0.621207023
625.29,0.621744035
625.49,0.622200698
625.69,0.622742796
625.89,0.623382193
626.09,0.62383411
626.29,0.624362308
626.49,0.624901693
626.69,0.625454639
626.89,0.626024536
627.09,0.62660969
627.29,0.627307398
627.49,0.628008837
627.68,0.628565512
627.88,0.629183551
628.08,0.629733106
628.28,0.630294528
628.48,0.630875274
628.68,0.631597732
628.88,0.63225069
629.08,0.632892799
629.28,0.633456933
629.48,0.634173288
629.68,0.634798785
629.88,0.635457167
630.08,0.636085715
630.28,0.636731554
630.48,0.637369933
630.68,0.63793644
630.88,0.638434465
631.07,0.639014872
631.27,0.639506455
631.47,0.640056011
631.67,0.640454024
631.87,0.640871022
632.07,0.64113885
632.27,0.641547033
632.47,0.64194708
632.67,0.64235289
632.87,0.642610547
633.07,0.643070601
633.27,0.643454375
